CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250740,VIr3,Ir1,12,4,8,46.1758,0.0,30,20,2.0093,1.9062,33.9804,0.7359
250740,VIr3,V1,12,0,12,46.1758,0.0,30,20,2.0093,1.9062,33.9804,0.7359
250742,V3Ir,Ir1,12,12,0,47.9619,0.0,30,20,2.0724,2.2384,37.2824,0.7773
250742,V3Ir,V1,14,10,4,57.0975,0.0,36,24,2.1478,2.157,41.5007,0.7268
250751,Au3Gd,Au1,12,4,8,65.7156,0.0584,30,20,2.2192,2.1447,45.7787,0.6966
250751,Au3Gd,Au2,12,4,8,65.7156,0.0584,30,20,2.2192,2.1447,45.7787,0.6966
250751,Au3Gd,Gd1,12,0,12,65.7156,0.0584,30,20,2.2192,2.1447,45.7784,0.6966
250752,Au3Dy,Au1,12,4,8,64.2611,0.058,30,20,2.2073,2.129,45.0504,0.701
250752,Au3Dy,Au2,12,4,8,64.2611,0.058,30,20,2.2073,2.129,45.0504,0.701
250752,Au3Dy,Dy1,12,0,12,64.2611,0.058,30,20,2.2073,2.129,45.0502,0.701
250753,Au3Ho,Au1,12,4,8,63.5415,0.0579,30,20,2.2015,2.1196,44.6925,0.7034
250753,Au3Ho,Au2,12,4,8,63.5415,0.0579,30,20,2.2015,2.1196,44.6925,0.7034
250753,Au3Ho,Ho1,12,0,12,63.5415,0.0579,30,20,2.2015,2.1196,44.6922,0.7034
250754,Au3Er,Au1,12,4,8,63.1436,0.0577,30,20,2.1961,2.1148,44.3641,0.7026
250754,Au3Er,Au2,12,4,8,63.1436,0.0577,30,20,2.1961,2.1148,44.3641,0.7026
250754,Au3Er,Er1,12,0,12,63.1436,0.0577,30,20,2.1961,2.1148,44.3638,0.7026
250755,Au3Yb,Au1,12,4,8,62.2698,0.0574,30,20,2.1859,2.1044,43.7506,0.7026
250755,Au3Yb,Au2,12,4,8,62.2698,0.0574,30,20,2.1859,2.1044,43.7506,0.6305
250755,Au3Yb,Yb1,12,0,12,62.2698,0.0574,30,20,2.1859,2.1044,43.7503,0.7026
250763,Sm3Co,Co1,9,9,0,56.0408,0.2311,21,14,1.854,2.0461,26.6959,0.3056
250763,Sm3Co,Sm1,14,11,3,114.1295,0.1438,36,24,2.5708,2.543,71.1674,0.6236
250763,Sm3Co,Sm2,15,12,3,125.9518,0.1244,39,26,2.6359,2.6205,76.7186,0.6091
250765,SmCo3,Co1,12,5,7,52.2275,0.0447,30,20,2.0576,2.0385,36.4902,0.6987
250765,SmCo3,Co2,12,3,9,48.774,0.008,30,20,1.9891,2.1592,32.9633,0.6758
250765,SmCo3,Co3,12,6,6,52.7468,0.0,30,20,2.0599,2.1854,36.6125,0.6941
250765,SmCo3,Sm1,16,4,12,81.0168,0.0954,42,28,2.4906,2.6167,64.713,0.7988
250765,SmCo3,Sm2,6,0,6,0.1955,0.0,12,8,0.0066,1.4578,0.0,0.0
250804,La0.75Pt2.25,La1,12,0,12,55.2018,0.0,30,20,1.904,1.6723,28.9122,0.3764
250804,La0.75Pt2.25,Pt1,18,6,12,66.0022,0.0,30,20,2.2297,2.365,46.4343,0.7035
250804,La0.75Pt2.25,Pt2,12,0,12,55.2018,0.0,30,20,1.904,1.6723,28.9122,0.33
250805,Pr0.75Pt2.25,Pr1,12,0,12,53.5043,0.0,30,20,1.8843,1.655,28.0231,0.33
250805,Pr0.75Pt2.25,Pt1,18,6,12,63.9725,0.0,30,20,2.2066,2.3405,45.007,0.7035
250805,Pr0.75Pt2.25,Pt2,12,0,12,53.5043,0.0,30,20,1.8843,1.655,28.0231,0.3764
250806,Nd0.75Pt2.25,Nd1,12,0,12,53.0228,0.0,30,20,1.8786,1.65,27.7709,0.5238
250806,Nd0.75Pt2.25,Pt1,18,6,12,63.3968,0.0,30,20,2.2,2.3334,44.602,0.7035
250806,Nd0.75Pt2.25,Pt2,12,0,12,53.0228,0.0,30,20,1.8786,1.65,27.7709,0.33
250807,Eu0.75Pt2.25,Eu1,12,0,12,55.159,0.0,30,20,1.9035,1.6719,28.8897,0.438
250807,Eu0.75Pt2.25,Pt1,18,6,12,65.9509,0.0,30,20,2.2292,2.3644,46.3989,0.7035
250807,Eu0.75Pt2.25,Pt2,12,0,12,55.159,0.0,30,20,1.9035,1.6719,28.8897,0.438
250808,Gd0.75Pt2.25,Gd1,12,0,12,52.1097,0.0,30,20,1.8678,1.6405,27.2926,0.438
250808,Gd0.75Pt2.25,Pt1,18,6,12,62.3051,0.0,30,20,2.1873,2.32,43.8339,0.7035
250808,Gd0.75Pt2.25,Pt2,12,0,12,52.1097,0.0,30,20,1.8678,1.6405,27.2926,0.5238
250809,DyPt3,Dy1,12,0,12,56.2779,0.0,12,8,2.1463,2.0362,41.4145,0.6046
250809,DyPt3,Pt1,12,4,8,56.2779,0.0,30,20,2.1463,2.0362,41.4145,0.7359
250810,TbPt3,Pt1,12,4,8,56.6977,0.0,30,20,2.1516,2.0412,41.7234,0.7359
250810,TbPt3,Tb1,12,0,12,56.6977,0.0,12,8,2.1516,2.0412,41.7234,0.6046
250811,Ce0.75Pt2.25,Ce1,12,0,12,53.9465,0.0,30,20,1.8894,1.6595,28.2547,0.33
250811,Ce0.75Pt2.25,Pt1,18,6,12,64.5012,0.0,30,20,2.2127,2.3469,45.379,0.7035
250811,Ce0.75Pt2.25,Pt2,12,0,12,53.9465,0.0,30,20,1.8894,1.6595,28.2547,0.33
250891,LaPd3,La1,12,0,12,63.256,0.0,12,8,2.2316,2.117,46.5497,0.6046
250891,LaPd3,Pd1,12,4,8,63.256,0.0,30,20,2.2316,2.117,46.5497,0.7359
250892,CePd3,Ce1,12,0,12,58.6104,0.0,12,8,2.1755,2.0639,43.131,0.6046
250892,CePd3,Pd1,12,4,8,58.6104,0.0,30,20,2.1755,2.0639,43.131,0.7359
250893,PrPd3,Pd1,12,4,8,59.1873,0.0,30,20,2.1827,2.0706,43.5555,0.7359
250893,PrPd3,Pr1,12,0,12,59.1873,0.0,12,8,2.1827,2.0706,43.5555,0.6046
250894,YPd3,Pd1,12,4,8,56.1909,0.0,30,20,2.1452,2.0351,41.3505,0.7359
250894,YPd3,Y1,12,0,12,56.1909,0.0,12,8,2.1452,2.0351,41.3505,0.6046
250907,Ce0.25Tb0.75,Ce1,12,6,6,32.8248,0.0,12,8,1.5439,1.0474,15.4156,0.4696
250907,Ce0.25Tb0.75,Tb1,12,6,6,32.8248,0.0,12,8,1.5439,1.0474,15.4156,0.4696
250910,Pr0.25Tb0.75,Pr1,12,6,6,32.7923,0.0,12,8,1.5434,1.0472,15.3991,0.4696
250910,Pr0.25Tb0.75,Tb1,12,6,6,32.7923,0.0,12,8,1.5434,1.0472,15.3991,0.4696
250920,HoFe3,Fe1,12,5,7,52.6312,0.0445,30,20,2.0687,2.0269,37.0826,0.7046
250920,HoFe3,Fe2,12,3,9,49.1515,0.0082,30,20,1.9909,2.1497,33.0552,0.6725
250920,HoFe3,Fe3,12,6,6,53.1514,0.0001,30,20,2.0479,2.1757,35.9778,0.6769
250920,HoFe3,Ho1,16,4,12,81.6489,0.095,42,28,2.5058,2.6245,65.9102,0.8072
250920,HoFe3,Ho2,6,0,6,0.1934,0.0001,12,8,0.0064,1.4676,0.0,0.0
250931,YbPd3,Pd1,12,4,8,55.0719,0.0,30,20,2.1308,2.0215,40.527,0.7359
250931,YbPd3,Yb1,12,0,12,55.0719,0.0,12,8,2.1308,2.0215,40.527,0.6046
250934,Pd3Sn,Pd1,12,8,4,52.4582,0.0,30,20,2.0966,1.989,38.6036,0.7359
250934,Pd3Sn,Sn1,12,12,0,52.4582,0.0,12,8,2.0966,1.989,38.6036,0.6046
250959,Pd0.75In0.25,In1,7,3,4,5.2418,0.0,6,4,0.9275,0.0,3.3418,0.592
250959,Pd0.75In0.25,Pd1,7,3,4,5.2418,0.0,6,4,0.9275,0.0,3.3418,0.592
250962,Pt3Sn,Pt1,12,8,4,53.3533,0.0,30,20,2.1084,2.0002,39.2624,0.7359
250962,Pt3Sn,Sn1,12,12,0,53.3533,0.0,12,8,2.1084,2.0002,39.2624,0.6046
250963,Pt3In,In1,12,12,0,53.014,0.0,12,8,2.104,1.996,39.0126,0.6046
250963,Pt3In,Pt1,12,8,4,53.014,0.0,30,20,2.104,1.996,39.0126,0.7359
250966,Pd3.25In9.75,In1,15,3,12,70.7695,0.2172,36,24,2.0635,2.1281,36.8035,0.52
250966,Pd3.25In9.75,In2,15,4,11,62.1813,0.1415,33,22,2.212,2.2529,45.3385,0.7291
250966,Pd3.25In9.75,In3,15,6,9,50.7795,0.214,30,20,1.9046,2.1436,28.9397,0.5699
250966,Pd3.25In9.75,Pd1,15,6,9,50.7795,0.214,30,20,1.9046,2.1436,28.9401,0.5699
250966,Pd3.25In9.75,Pd2,15,3,12,51.5704,0.2032,30,20,1.8518,2.0968,26.598,0.5158
250977,ErNi3,Er1,16,4,12,76.4911,0.0941,42,28,2.4378,2.5664,60.6825,0.7933
250977,ErNi3,Er2,6,0,6,0.1812,0.0001,12,8,0.0063,1.4263,0.0,0.0
250977,ErNi3,Ni1,12,5,7,49.31,0.0441,30,20,2.015,2.0105,34.2701,0.695
250977,ErNi3,Ni2,12,3,9,46.0494,0.0081,30,20,1.9532,2.1273,31.2123,0.6778
250977,ErNi3,Ni3,12,6,6,49.7968,0.0001,30,20,2.0314,2.1532,35.1108,0.7051
