CIF_id,Compound,A,B,distAA,distBB,distAB,Asize,Bsize,Asize_by_Bsize,distAA_by2_byAsize,distBB_by2_byBsize,distAB_by2_byAsizebyBsize,Asize_ref,Bsize_ref,percent_diff_A_by_100,percent_diff_B_by_100,distAA_minus_ref_diff,distBB_minus_ref_diff,distAB_minus_ref_diff,refined_packing_eff,R_factor
250753,Au3Ho,Ho,Au,4.2392,2.9074,2.9074,1.7086,1.4425,1.1845,1.2406,1.0078,0.9227,1.4537,1.4537,-0.1492,0.0078,0.3142,0.0,0.0,0.67508,0.0223
250755,Au3Yb,Yb,Au,4.2087,2.8809,2.8809,1.8969,1.4425,1.315,1.1094,0.9986,0.8627,1.4404,1.4404,-0.2406,-0.0014,0.3155,0.0,0.0,0.67015,0.0579
250805,Pr0.75Pt2.25,Pr,Pt,3.3099,2.7026,3.169,1.6334,1.3843,1.18,1.0132,0.9762,1.0502,1.8178,1.3513,0.1129,-0.0238,-0.0984,0.0,0.0,1.00599,0.0133
250378,GdIn3,Gd,In,4.6066,3.2574,3.2574,1.7454,1.6085,1.0851,1.3196,1.0125,0.9712,1.6287,1.6287,-0.0669,0.0125,0.2929,0.0,0.0,0.74047,0.0046
250223,Nb0.25Ru0.75,Nb,Ru,2.7204,2.7204,2.7204,1.4302,1.329,1.0762,0.951,1.0235,0.9859,1.3602,1.3602,-0.049,0.0235,0.0,0.0,0.0,1.45721,0.003
250373,LaIn3,La,In,4.7345,3.3478,3.3478,1.8186,1.6085,1.1306,1.3017,1.0407,0.9769,1.6739,1.6739,-0.0796,0.0407,0.2929,0.0,0.0,0.74048,0.008
250525,TiNi3,Ti,Ni,3.6062,2.5455,2.5455,1.4038,1.2515,1.1217,1.2845,1.017,0.9587,1.2728,1.2728,-0.0934,0.017,0.2941,0.0,0.0,0.73658,0.009
250763,Sm3Co,Sm,Co,3.4862,4.3052,2.7553,1.7165,1.2492,1.3741,1.0155,1.7232,0.9291,1.7431,1.0123,0.0155,-0.1897,0.0,0.5298,0.0,0.65527,0.0362
250811,Ce0.75Pt2.25,Ce,Pt,3.319,2.71,3.1777,1.7238,1.3843,1.2452,0.9627,0.9788,1.0224,1.8227,1.355,0.0574,-0.0212,-0.0984,0.0,0.0,1.00598,0.0037
250380,DyIn3,Dy,In,4.5791,3.2379,3.2379,1.6634,1.6085,1.0341,1.3764,1.0065,0.9896,1.619,1.619,-0.0267,0.0065,0.2929,0.0,0.0,0.74048,0.0008
250464,YCo3,Y,Co,3.1455,2.4809,2.8837,1.6813,1.2492,1.3459,0.9354,0.993,0.984,1.6433,1.2404,-0.0226,-0.007,-0.0448,0.0,0.0,0.72230,0.0006
250101,TmAl3,Tm,Al,4.2,2.9698,2.9698,1.536,1.4319,1.0727,1.3672,1.037,1.0006,1.4849,1.4849,-0.0333,0.037,0.2929,0.0,0.0,0.74047,0.0025
250668,La3Co,La,Co,3.6292,4.4332,2.835,1.8186,1.2492,1.4558,0.9978,1.7744,0.9241,1.8146,1.0204,-0.0022,-0.1831,0.0,0.5396,0.0,0.66362,0.0336
250648,LuPt3,Lu,Pt,4.03,2.8496,2.8496,1.7151,1.3843,1.239,1.1749,1.0293,0.9194,1.4248,1.4248,-0.1693,0.0293,0.2929,0.0,0.0,0.74048,0.0295
250564,MoRh3,Mo,Rh,3.8279,2.6853,2.6854,1.3617,1.3444,1.0129,1.4056,0.9987,0.9923,1.3427,1.3427,-0.014,-0.0013,0.2985,0.0,0.0,0.72332,0.0002
250022,Nb0.25Re0.75,Nb,Re,2.4552,2.4552,2.4552,1.4302,1.3577,1.0534,0.8583,0.9042,0.8806,1.2276,1.2276,-0.1417,-0.0958,0.0,0.0,0.0,0.98793,0.0293
250379,TbIn3,Tb,In,4.5897,3.2454,3.2454,1.6609,1.6085,1.0326,1.3817,1.0088,0.9927,1.6227,1.6227,-0.023,0.0088,0.2929,0.0,0.0,0.74048,0.0006
250399,V3Ga,V,Ga,2.4082,4.1712,2.6925,1.3117,1.2796,1.0251,0.918,1.6299,1.039,1.2041,1.4884,-0.082,0.1632,0.0,0.2864,0.0,0.63991,0.0334
250628,Nb0.75Co2.25,Nb,Co,2.899,2.3365,2.7624,1.4302,1.2492,1.1449,1.0135,0.9352,1.031,1.5941,1.1683,0.1146,-0.0648,-0.0998,0.0,0.0,0.98434,0.0173
250477,YbPb3,Yb,Pb,4.862,3.438,3.438,1.8969,1.7253,1.0995,1.2816,0.9963,0.9491,1.719,1.719,-0.0938,-0.0037,0.2929,0.0,0.0,0.74048,0.0088
250503,GdAl3,Gd,Al,4.3111,2.9325,2.9326,1.7454,1.4319,1.2189,1.235,1.024,0.923,1.4663,1.4663,-0.1599,0.024,0.3197,0.0,-0.0,0.66507,0.0261
250733,Ta0.25Ni0.75,Ta,Ni,2.585,2.585,2.585,1.4132,1.2515,1.1292,0.9146,1.0328,0.9701,1.2925,1.2925,-0.0854,0.0328,0.0,0.0,0.0,1.47825,0.0084
250693,CePd3,Ce,Pd,4.112,2.9076,2.9076,1.7238,1.3768,1.252,1.1927,1.0559,0.9378,1.4538,1.4538,-0.1566,0.0559,0.2929,0.0,0.0,0.74048,0.0277
250186,Mo0.25Pt0.75,Mo,Pt,2.7521,2.7521,2.7521,1.3617,1.3843,0.9837,1.0105,0.994,1.0022,1.376,1.376,0.0105,-0.006,0.0,0.0,0.0,1.46443,0.0001
250236,Nb3Sn,Nb,Sn,2.645,4.5813,2.9572,1.4302,1.4899,0.9599,0.9247,1.5374,1.0127,1.3225,1.6347,-0.0753,0.0972,0.0,0.2864,-0.0,0.63991,0.0151
250740,VIr3,V,Ir,3.8124,2.6958,2.6958,1.3117,1.3542,0.9686,1.4532,0.9953,1.0112,1.3479,1.3479,0.0276,-0.0047,0.2929,0.0,0.0,0.74048,0.0008
250366,NdSn3,Nd,Sn,4.706,3.3276,3.3276,1.6571,1.4899,1.1122,1.42,1.1167,1.0574,1.6638,1.6638,0.0041,0.1167,0.2929,0.0,0.0,0.74048,0.0136
250374,CeIn3,Ce,In,4.6893,3.3158,3.3158,1.7238,1.6085,1.0717,1.3602,1.0307,0.9951,1.6579,1.6579,-0.0382,0.0307,0.2929,0.0,0.0,0.74048,0.0024
250383,TmIn3,Tm,In,4.5584,3.2233,3.2233,1.536,1.6085,0.9549,1.4838,1.0019,1.025,1.6116,1.6116,0.0492,0.002,0.2929,0.0,-0.0,0.74048,0.0024
250335,TbPd3,Tb,Pd,4.0773,2.8831,2.8831,1.6609,1.3768,1.2064,1.2274,1.047,0.9491,1.4415,1.4415,-0.1321,0.047,0.2929,0.0,0.0,0.74048,0.0196
250647,YbPt3,Yb,Pt,4.032,2.851,2.851,1.8969,1.3843,1.3703,1.0628,1.0298,0.8689,1.4255,1.4255,-0.2485,0.0298,0.2929,0.0,0.0,0.74048,0.0626
250225,MoNi3,Mo,Ni,3.5737,2.522,2.522,1.3617,1.2515,1.088,1.3122,1.0076,0.9651,1.261,1.261,-0.0739,0.0076,0.2943,0.0,0.0,0.70625,0.0055
250331,NdPd3,Nd,Pd,4.1264,2.9178,2.9178,1.6571,1.3768,1.2036,1.2451,1.0596,0.9617,1.4589,1.4589,-0.1196,0.0596,0.2929,0.0,0.0,0.74048,0.0179
250382,ErIn3,Er,In,4.5644,3.2275,3.2275,1.6438,1.6085,1.022,1.3884,1.0033,0.9924,1.6138,1.6138,-0.0183,0.0033,0.2929,0.0,0.0,0.74047,0.0003
250506,CeAl3,Ce,Al,4.426,2.98,2.98,1.7238,1.4319,1.2039,1.2838,1.0406,0.9443,1.49,1.49,-0.1356,0.0406,0.3267,0.0,0.0,0.64829,0.02
250650,CePd3,Ce,Pd,4.128,2.9189,2.9189,1.7238,1.3768,1.252,1.1974,1.06,0.9414,1.4595,1.4595,-0.1533,0.06,0.2929,0.0,0.0,0.74048,0.0271
250530,NbNi3,Nb,Ni,3.5926,2.535,2.535,1.4302,1.2515,1.1428,1.256,1.0128,0.9453,1.2675,1.2675,-0.1138,0.0128,0.2944,0.0,0.0,0.69624,0.0131
250065,Mo3Os,Mo,Os,2.4856,4.3052,2.779,1.3617,1.3106,1.039,0.9127,1.6424,1.0399,1.2428,1.5362,-0.0873,0.1721,0.0,0.2864,0.0,0.63991,0.0372
250891,LaPd3,La,Pd,4.2341,2.994,2.994,1.8186,1.3768,1.3209,1.1641,1.0873,0.937,1.497,1.497,-0.1768,0.0873,0.2929,0.0,0.0,0.74048,0.0389
250339,YbPd3,Yb,Pd,4.0398,2.8566,2.8566,1.8969,1.3768,1.3778,1.0648,1.0374,0.8726,1.4283,1.4283,-0.247,0.0374,0.2929,0.0,0.0,0.74047,0.0624
250410,GdAl3,Gd,Al,4.3111,2.9325,2.9326,1.7454,1.4319,1.2189,1.235,1.024,0.923,1.4663,1.4663,-0.1599,0.024,0.3197,0.0,-0.0,0.66507,0.0261
250463,YFe3,Y,Fe,3.2136,2.5165,2.9424,1.6813,1.2422,1.3535,0.9557,1.0129,1.0065,1.6842,1.2582,0.0017,0.0129,-0.0481,0.0,-0.0,0.72220,0.0002
250394,YCo3,Y,Co,3.1496,2.4839,2.8875,1.6813,1.2492,1.3459,0.9367,0.9942,0.9853,1.6455,1.242,-0.0213,-0.0058,-0.0449,0.0,0.0,0.72230,0.0005
250385,LuIn3,Lu,In,4.5526,3.2192,3.2192,1.7151,1.6085,1.0663,1.3272,1.0007,0.9686,1.6096,1.6096,-0.0615,0.0007,0.2929,0.0,0.0,0.74048,0.0038
250328,LaPd3,La,Pd,4.2352,2.9947,2.9947,1.8186,1.3768,1.3209,1.1644,1.0876,0.9372,1.4974,1.4974,-0.1766,0.0876,0.2929,0.0,0.0,0.74047,0.0389
250653,YbPd3,Yb,Pd,4.033,2.8518,2.8518,1.8969,1.3768,1.3778,1.063,1.0356,0.8711,1.4259,1.4259,-0.2483,0.0356,0.2929,0.0,-0.0,0.74048,0.0629
250810,TbPt3,Tb,Pt,4.0824,2.8867,2.8867,1.6609,1.3843,1.1998,1.229,1.0426,0.948,1.4433,1.4433,-0.131,0.0426,0.2929,0.0,0.0,0.74048,0.019
250527,LaPb3,La,Pb,4.941,3.4938,3.4938,1.8186,1.7253,1.0541,1.3585,1.0125,0.9859,1.7469,1.7469,-0.0394,0.0125,0.2929,0.0,0.0,0.74048,0.0017
250554,Y0.25Ce0.75,Y,Ce,3.6352,3.6352,3.6352,1.6813,1.7238,0.9754,1.0811,1.0544,1.0676,1.8176,1.8176,0.0811,0.0544,0.0,0.0,0.0,1.45988,0.0095
250460,GdFe3,Gd,Fe,3.2356,2.5318,2.9621,1.7454,1.2422,1.4051,0.9269,1.0191,0.9915,1.6962,1.2659,-0.0282,0.0191,-0.0485,0.0,0.0,0.72221,0.0012
250561,WIr3,W,Ir,3.8583,2.7083,2.7083,1.3701,1.3542,1.0117,1.408,1.0,0.9942,1.3542,1.3542,-0.0116,-0.0,0.298,0.0,0.0,0.72461,0.0001
250907,Ce0.25Tb0.75,Ce,Tb,3.5604,3.5604,3.5604,1.7238,1.6609,1.0379,1.0327,1.0718,1.0519,1.7802,1.7802,0.0327,0.0718,0.0,0.0,0.0,1.43983,0.0062
250894,YPd3,Y,Pd,4.0702,2.8781,2.8781,1.6813,1.3768,1.2212,1.2104,1.0452,0.9411,1.439,1.439,-0.1441,0.0452,0.2929,0.0,0.0,0.74048,0.0228
250718,GdAl3,Gd,Al,4.3186,2.9376,2.9377,1.7454,1.4319,1.2189,1.2371,1.0258,0.9246,1.4689,1.4688,-0.1584,0.0258,0.3197,0.0,-0.0,0.66507,0.0258
250962,Pt3Sn,Pt,Sn,2.8288,4.0005,2.8288,1.3843,1.4899,0.9291,1.0217,1.3425,0.9842,1.4144,1.4144,0.0217,-0.0507,0.0,0.2929,0.0,0.74048,0.003
250332,SmPd3,Sm,Pd,4.1053,2.9029,2.9029,1.7165,1.3768,1.2467,1.1958,1.0542,0.9384,1.4514,1.4514,-0.1544,0.0542,0.2929,0.0,0.0,0.74048,0.0268
250649,ScPt3,Sc,Pt,3.954,2.7959,2.7959,1.6329,1.3843,1.1796,1.2107,1.0099,0.9266,1.398,1.398,-0.1439,0.0099,0.2929,0.0,-0.0,0.74048,0.0208
250563,MoIr3,Mo,Ir,3.8526,2.7048,2.7048,1.3617,1.3542,1.0055,1.4146,0.9987,0.9959,1.3524,1.3524,-0.0068,-0.0013,0.2979,0.0,0.0,0.72496,0.0
250375,PrIn3,Pr,In,4.6716,3.3033,3.3033,1.6334,1.6085,1.0155,1.43,1.0268,1.0189,1.6517,1.6517,0.0112,0.0268,0.2929,0.0,0.0,0.74047,0.0008
250754,Au3Er,Er,Au,4.2296,2.8974,2.8974,1.6438,1.4425,1.1396,1.2865,1.0043,0.9388,1.4487,1.4487,-0.1187,0.0043,0.315,0.0,0.0,0.67232,0.0141
250340,LuPd3,Lu,Pd,4.0358,2.8537,2.8537,1.7151,1.3768,1.2457,1.1766,1.0364,0.923,1.4269,1.4269,-0.168,0.0364,0.2929,0.0,0.0,0.74048,0.0296
250892,CePd3,Ce,Pd,4.1278,2.9188,2.9188,1.7238,1.3768,1.252,1.1973,1.06,0.9414,1.4594,1.4594,-0.1534,0.06,0.2929,0.0,0.0,0.74048,0.0271
250806,Nd0.75Pt2.25,Nd,Pt,3.3,2.6944,3.1595,1.6571,1.3843,1.1971,0.9957,0.9732,1.0388,1.8123,1.3472,0.0936,-0.0268,-0.0984,0.0,0.0,1.00598,0.0095
250404,NdAl3,Nd,Al,4.3893,2.9655,2.9655,1.6571,1.4319,1.1573,1.3244,1.0355,0.96,1.4828,1.4827,-0.1052,0.0355,0.3244,0.0,0.0,0.65381,0.0123
250934,Pd3Sn,Pd,Sn,2.8129,3.978,2.8129,1.3768,1.4899,0.9241,1.0215,1.335,0.9812,1.4064,1.4064,0.0215,-0.056,0.0,0.2929,0.0,0.74048,0.0036
250652,Pd3Sn,Pd,Sn,2.8107,3.975,2.8107,1.3768,1.4899,0.9241,1.0208,1.334,0.9805,1.4054,1.4054,0.0208,-0.0567,0.0,0.2929,0.0,0.74047,0.0036
250376,NdIn3,Nd,In,4.6554,3.2919,3.2919,1.6571,1.6085,1.0302,1.4047,1.0233,1.008,1.6459,1.6459,-0.0067,0.0233,0.2929,0.0,0.0,0.74048,0.0006
250651,GdPd3,Gd,Pd,4.093,2.8942,2.8942,1.7454,1.3768,1.2677,1.1725,1.051,0.927,1.4471,1.4471,-0.1709,0.051,0.2929,0.0,0.0,0.74047,0.0318
250468,SmIn3,Sm,In,4.626,3.2711,3.2711,1.7165,1.6085,1.0671,1.3475,1.0168,0.9838,1.6355,1.6355,-0.0472,0.0168,0.2929,0.0,0.0,0.74048,0.0025
250334,GdPd3,Gd,Pd,4.0938,2.8948,2.8948,1.7454,1.3768,1.2677,1.1727,1.0513,0.9272,1.4474,1.4474,-0.1708,0.0513,0.2929,0.0,0.0,0.74048,0.0318
250920,HoFe3,Ho,Fe,3.1846,2.4981,2.9168,1.7086,1.2422,1.3755,0.9319,1.0055,0.9885,1.6677,1.2491,-0.0239,0.0055,-0.0473,0.0,0.0,0.72220,0.0006
250751,Au3Gd,Gd,Au,4.2976,2.9416,2.9416,1.7454,1.4425,1.21,1.2311,1.0196,0.9227,1.4708,1.4708,-0.1573,0.0196,0.3155,0.0,0.0,0.67602,0.0251
250411,Nd3Al,Nd,Al,3.3697,4.8469,3.3697,1.6571,1.4319,1.1573,1.0167,1.6925,1.0909,1.6848,1.6849,0.0167,0.1767,0.0,0.3048,0.0,0.70494,0.0315
250465,YNi3,Y,Ni,3.1288,2.4815,2.8713,1.6813,1.2515,1.3434,0.9305,0.9914,0.979,1.6306,1.2407,-0.0302,-0.0086,-0.0423,0.0,0.0,0.72258,0.001
250508,ErAl3,Er,Al,4.251,3.0059,3.0059,1.6438,1.4319,1.148,1.293,1.0496,0.9773,1.503,1.503,-0.0857,0.0496,0.2929,0.0,0.0,0.74048,0.0098
250369,GdSn3,Gd,Sn,4.6775,3.3075,3.3075,1.7454,1.4899,1.1715,1.34,1.11,1.0223,1.6537,1.6537,-0.0525,0.11,0.2929,0.0,0.0,0.74048,0.0148
250959,Pd0.75In0.25,Pd,In,2.7824,2.7824,2.7824,1.3768,1.6085,0.856,1.0104,0.8649,0.932,1.3912,1.3912,0.0104,-0.1351,0.0,0.0,0.0,1.43441,0.0184
250752,Au3Dy,Dy,Au,4.258,2.9174,2.9174,1.6634,1.4425,1.1531,1.2799,1.0112,0.9393,1.4587,1.4587,-0.1231,0.0112,0.3148,0.0,0.0,0.67439,0.0153
250502,YAl3,Y,Al,4.1765,2.7272,3.0276,1.6813,1.4319,1.1742,1.242,0.9523,0.9725,1.664,1.3636,-0.0103,-0.0477,0.2032,0.0,0.0,0.65557,0.0024
250337,HoPd3,Ho,Pd,4.062,2.8723,2.8723,1.7086,1.3768,1.241,1.1887,1.0431,0.9309,1.4361,1.4361,-0.1595,0.0431,0.2929,0.0,0.0,0.74047,0.0273
250336,DyPd3,Dy,Pd,4.0684,2.8768,2.8768,1.6634,1.3768,1.2082,1.2229,1.0447,0.9462,1.4384,1.4384,-0.1353,0.0447,0.2929,0.0,0.0,0.74048,0.0203
250125,MoCo3,Mo,Co,3.6077,2.537,2.537,1.3617,1.2492,1.0901,1.3247,1.0155,0.9717,1.2685,1.2685,-0.0684,0.0155,0.2968,0.0,0.0,0.72846,0.0049
250390,Mo3Os,Mo,Os,2.4846,4.3035,2.7779,1.3617,1.3106,1.039,0.9123,1.6418,1.0395,1.2423,1.5356,-0.0877,0.1717,0.0,0.2864,0.0,0.63991,0.0372
250372,YIn3,Y,In,4.5935,3.2481,3.2481,1.6813,1.6085,1.0453,1.3661,1.0097,0.9873,1.624,1.624,-0.034,0.0097,0.2929,0.0,0.0,0.74048,0.0012
250654,YbIn3,Yb,In,4.613,3.2619,3.2619,1.8969,1.6085,1.1793,1.2159,1.0139,0.9305,1.6309,1.6309,-0.1402,0.014,0.2929,0.0,-0.0,0.74048,0.0198
250646,TmPt3,Tm,Pt,4.044,2.8595,2.8595,1.536,1.3843,1.1096,1.3164,1.0328,0.9792,1.4298,1.4298,-0.0692,0.0328,0.2929,0.0,0.0,0.74047,0.0059
