CIF_id,Compound,Shortest homoatomic distance,Shortest heteroatomic distance,Shortest homoatomic distance by 2 by atom size,Shortest heteroatomic distance by sum of atom sizes,Shortest homoatomic distance by 2 by refined atom size,Shortest heteroatomic distance by sum of refined sizes,Highest refined percent difference by 100 (abs value),Lowest refined percent difference by 100 (abs value),Packing efficiency
250962,Pt3Sn,2.8288,2.8288,1.0217,0.9842,1.0,1.0,0.0507,0.0217,0.74048
250332,SmPd3,2.9029,2.9029,1.0542,0.9384,1.0,1.0,0.1544,0.0542,0.74048
250649,ScPt3,2.7959,2.7959,1.0099,0.9266,1.0,1.0,0.1439,0.0099,0.74048
250563,MoIr3,2.7048,2.7048,0.9987,0.9959,1.0,1.0,0.0068,0.0013,0.72496
250375,PrIn3,3.3033,3.3033,1.0268,1.0189,1.0,1.0,0.0268,0.0112,0.74047
250754,Au3Er,2.8974,2.8974,1.0043,0.9388,1.0,1.0,0.1187,0.0043,0.67232
250340,LuPd3,2.8537,2.8537,1.0364,0.923,1.0,1.0,0.168,0.0364,0.74048
250892,CePd3,2.9188,2.9188,1.06,0.9414,1.0,1.0,0.1534,0.06,0.74048
250806,Nd0.75Pt2.25,2.6944,3.1595,0.9732,1.0388,1.0,1.0,0.0936,0.0268,1.00598
250404,NdAl3,2.9655,2.9655,1.0355,0.96,1.0,1.0,0.1052,0.0355,0.65381
250934,Pd3Sn,2.8129,2.8129,1.0215,0.9812,1.0,1.0,0.056,0.0215,0.74048
250652,Pd3Sn,2.8107,2.8107,1.0208,0.9805,1.0,1.0,0.0567,0.0208,0.74047
250376,NdIn3,3.2919,3.2919,1.0233,1.008,1.0,1.0,0.0233,0.0067,0.74048
250651,GdPd3,2.8942,2.8942,1.051,0.927,1.0,1.0,0.1709,0.051,0.74047
250468,SmIn3,3.2711,3.2711,1.0168,0.9838,1.0,1.0,0.0472,0.0168,0.74048
250334,GdPd3,2.8948,2.8948,1.0513,0.9272,1.0,1.0,0.1708,0.0513,0.74048
250920,HoFe3,2.4981,2.9168,1.0055,0.9885,1.0,1.0,0.0239,0.0055,0.72220
250751,Au3Gd,2.9416,2.9416,1.0196,0.9227,1.0,1.0,0.1573,0.0196,0.67602
250411,Nd3Al,3.3697,3.3697,1.0167,1.0909,1.0,1.0,0.1767,0.0167,0.70494
250465,YNi3,2.4815,2.8713,0.9914,0.979,1.0,1.0,0.0302,0.0086,0.72258
250508,ErAl3,3.0059,3.0059,1.0496,0.9773,1.0,1.0,0.0857,0.0496,0.74048
250369,GdSn3,3.3075,3.3075,1.11,1.0223,1.0,1.0,0.11,0.0525,0.74048
250959,Pd0.75In0.25,2.7824,2.7824,1.0104,0.932,1.0,1.0,0.1351,0.0104,1.43441
250752,Au3Dy,2.9174,2.9174,1.0112,0.9393,1.0,1.0,0.1231,0.0112,0.67439
250502,YAl3,2.7272,3.0276,0.9523,0.9725,1.0,1.0,0.0477,0.0103,0.65557
250337,HoPd3,2.8723,2.8723,1.0431,0.9309,1.0,1.0,0.1595,0.0431,0.74047
250336,DyPd3,2.8768,2.8768,1.0447,0.9462,1.0,1.0,0.1353,0.0447,0.74048
250125,MoCo3,2.537,2.537,1.0155,0.9717,1.0,1.0,0.0684,0.0155,0.72846
250390,Mo3Os,2.4846,2.7779,0.9123,1.0395,1.0,1.0,0.1717,0.0877,0.63991
250372,YIn3,3.2481,3.2481,1.0097,0.9873,1.0,1.0,0.034,0.0097,0.74048
250654,YbIn3,3.2619,3.2619,1.0139,0.9305,1.0,1.0,0.1402,0.014,0.74048
250646,TmPt3,2.8595,2.8595,1.0328,0.9792,1.0,1.0,0.0692,0.0328,0.74047
