CIF,Compound,A,B,Sto_A,Sto_B,A_atomicweight,A_atomicnumber,A_period,A_group,A_mendeleev,A_valence,A_gilman,A_zeff,A_ie,A_paulingrad,A_paulingen,A_martynoven,A_mp,A_density,A_specificheat,A_cohesive,A_bulkmod,A_abundance,A_abundancesolar,A_hhiprod,A_hhires,A_cost,B_atomicweight,B_atomicnumber,B_period,B_group,B_mendeleev,B_valence,B_gilman,B_zeff,B_ie,B_paulingrad,B_paulingen,B_martynoven,B_mp,B_density,B_specificheat,B_cohesive,B_bulkmod,B_abundance,B_abundancesolar,B_hhiprod,B_hhires,B_cost,molar_mass,AB_diffmendeleev,AB_sumzeff,max_zeff,min_zeff,avg_zeff,AB_diffpaulingrad,AB_diffmartynoven,max_martynoven,min_martynoven,avg_martynoven,AB_diffdensity,max_density,min_density,avg_density,AB_diffcohesive,max_cohesive,min_cohesive,avg_cohesive
250377,SmIn3,Sm,In,1.0,3.0,150.36,62,6,3,23,8,3,3.847,5.644,1.85,1.17,1.2,1347.15,7.52,0.2,2.14,37.8,0.0,0.0,9476.0,3129.0,130.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,494.814,52,7.106,3.847,3.259,3.406,0.19,0.43,1.63,1.2,1.522,0.21,7.52,7.31,7.362,0.38,2.52,2.14,2.425
250384,YbIn3,Yb,In,1.0,3.0,173.045,70,6,3,39,16,3,4.048,6.254,1.933,1.1,1.1,1092.15,6.97,0.15,1.6,30.5,0.0,0.0,9476.0,3129.0,530.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,517.499,36,7.307,4.048,3.259,3.456,0.273,0.53,1.63,1.1,1.498,0.34,7.31,6.97,7.225,0.92,2.52,1.6,2.29
250505,PrAl3,Pr,Al,1.0,3.0,140.908,59,6,3,17,5,3,3.8,5.473,1.824,1.13,1.1,1204.15,6.77,0.19,3.7,28.8,0.0,0.0,9476.0,3129.0,170.0,26.982,13,3,13,73,3,3,1.989,5.986,1.429,1.61,1.64,933.15,2.7,0.9,3.39,75.2,0.084,0.0,1569.0,1000.0,1.8,221.852,56,5.789,3.8,1.989,2.442,0.395,0.54,1.64,1.1,1.505,4.07,6.77,2.7,3.718,0.31,3.7,3.39,3.468
250338,ErPd3,Er,Pd,1.0,3.0,167.259,68,6,3,35,14,3,4.018,6.108,1.748,1.24,1.2,1802.15,9.07,0.17,3.29,44.4,0.0,0.0,9476.0,3129.0,270.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,486.519,27,7.119,4.018,3.101,3.33,0.375,0.88,2.08,1.2,1.86,2.93,12.0,9.07,11.268,0.6,3.89,3.29,3.74
250807,Eu0.75Pt2.25,Eu,Pt,0.75,2.25,151.965,63,6,3,25,9,3,3.871,5.67,2.084,1.2,1.15,1095.15,5.24,0.18,1.86,14.7,0.0,0.0,9476.0,3129.0,3600.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,552.913,38,8.754,4.883,3.871,4.63,0.699,0.76,1.91,1.15,1.72,16.16,21.4,5.24,17.36,3.98,5.84,1.86,4.845
250808,Gd0.75Pt2.25,Gd,Pt,0.75,2.25,157.25,64,6,3,27,10,3,4.034,6.15,1.795,1.2,1.1,1586.15,7.9,0.23,4.14,37.9,0.0,0.0,9476.0,3129.0,191.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,556.877,36,8.917,4.883,4.034,4.671,0.41,0.81,1.91,1.1,1.707,13.5,21.4,7.9,18.025,1.7,5.84,4.14,5.415
250365,PrSn3,Pr,Sn,1.0,3.0,140.908,59,6,3,17,5,3,3.8,5.473,1.824,1.13,1.1,1204.15,6.77,0.19,3.7,28.8,0.0,0.0,9476.0,3129.0,170.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,497.038,63,7.472,3.8,3.672,3.704,0.204,0.78,1.88,1.1,1.685,0.54,7.31,6.77,7.175,0.56,3.7,3.14,3.28
250364,CeSn3,Ce,Sn,1.0,3.0,140.115,58,6,3,15,4,3,3.774,5.539,1.818,1.12,1.1,1071.15,6.66,0.19,4.32,21.5,0.0,0.0,9476.0,3129.0,57.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,496.245,65,7.446,3.774,3.672,3.698,0.198,0.78,1.88,1.1,1.685,0.65,7.31,6.66,7.148,1.18,4.32,3.14,3.435
250809,DyPt3,Dy,Pt,1.0,3.0,162.5,66,6,3,31,12,3,3.963,5.939,1.77,1.22,1.15,1685.15,8.55,0.17,3.04,40.5,0.0,0.0,9476.0,3129.0,210.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,747.752,32,8.846,4.883,3.963,4.653,0.385,0.76,1.91,1.15,1.72,12.85,21.4,8.55,18.187,2.8,5.84,3.04,5.14
250507,LaAl3,La,Al,1.0,3.0,138.906,57,6,3,13,3,1,3.84,5.577,1.871,1.1,1.35,1193.15,6.15,0.19,4.47,27.9,0.0,0.0,9476.0,3129.0,64.0,26.982,13,3,13,73,3,3,1.989,5.986,1.429,1.61,1.64,933.15,2.7,0.9,3.39,75.2,0.084,0.0,1569.0,1000.0,1.8,219.85,60,5.829,3.84,1.989,2.452,0.442,0.29,1.64,1.35,1.568,3.45,6.15,2.7,3.563,1.08,4.47,3.39,3.66
