CIF_id,Compound,lowest_wyckoff_elements,Mendeleev_number_of_elements_with_lowest_wyckoff,valence_e_of_elements_with_lowest_wyckoff,CIF_rad_of_elements_with_lowest_wyckoff,CIF_rad_refined_of_elements_with_lowest_wyckoff,Pauling_rad_of_elements_with_lowest_wyckoff,Pauling_EN_of_elements_with_lowest_wyckoff,MB_EN_of_elements_with_lowest_wyckoff,highest_Mendeleev_number_sites,lowest_Mendeleev_number_sites,highest_Mendeleev_number_multiplicity,lowest_Mendeleev_number_multiplicity,highest_valence_e_sites,lowest_valence_e_sites,highest_valence_e_multiplicity,lowest_valence_e_multiplicity,highest_CIF_rad_sites,lowest_CIF_rad_sites,highest_CIF_rad_multiplicity,lowest_CIF_rad_multiplicity,highest_CIF_rad_refined_sites,lowest_CIF_rad_refined_sites,highest_CIF_rad_refined_multiplicity,lowest_CIF_rad_refined_multiplicity,highest_Pauling_rad_sites,lowest_Pauling_rad_sites,highest_Pauling_rad_multiplicity,lowest_Pauling_rad_multiplicity,highest_Pauling_EN_sites,lowest_Pauling_EN_sites,highest_Pauling_EN_multiplicity,lowest_Pauling_EN_multiplicity,highest_MB_EN_sites,lowest_MB_EN_sites,highest_MB_EN_multiplicity,lowest_MB_EN_multiplicity
250755,Au3Yb,"Yb, Au","39, 66","16, 25","1.8969, 1.4425","1.4404, 1.4404","1.8969, 1.4425","1.1, 2.54","1.1, 1.19",2,1,6,2,2,1,6,2,1,2,2,6,2,2,6,6,1,2,2,6,2,1,6,2,2,1,6,2
250805,Pr0.75Pt2.25,"Pr, Pt","17, 63","5, 24","1.6334, 1.3843","1.8177, 1.3513","1.6334, 1.3843","1.13, 2.28","1.1, 1.91",2,1,24,8,2,1,24,8,1,2,8,24,1,2,8,24,1,2,8,24,2,1,24,8,2,1,24,8
250378,GdIn3,Gd,27,10,1.7454,1.6287,1.7454,1.2,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250223,Nb0.25Ru0.75,"Nb, Ru","47, 56","5, 8","1.4302, 1.329","1.3602, 1.3602","1.4302, 1.329","1.6, 2.2","2.03, 1.97",1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2
250373,LaIn3,La,13,3,1.8186,1.6739,1.8186,1.1,1.35,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250525,TiNi3,Ti,43,4,1.4038,1.2728,1.4038,1.54,1.86,2,2,12,4,2,2,12,4,2,2,4,12,2,2,12,12,2,2,4,12,2,2,12,4,2,2,4,12
250763,Sm3Co,"Sm, Co","23, 58","8, 9","1.7165, 1.2492","1.7431, 1.0122","1.7165, 1.2492","1.17, 1.88","1.2, 1.72",1,2,4,12,1,2,4,12,2,1,12,4,2,1,12,4,2,1,12,4,1,2,4,12,1,2,4,12
250811,Ce0.75Pt2.25,"Ce, Pt","15, 63","4, 24","1.7238, 1.3843","1.8227, 1.355","1.7238, 1.3843","1.12, 2.28","1.1, 1.91",2,1,24,8,2,1,24,8,1,2,8,24,1,2,8,24,1,2,8,24,2,1,24,8,2,1,24,8
250380,DyIn3,Dy,31,12,1.6634,1.619,1.6634,1.22,1.15,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250464,YCo3,"Y, Co","12, 58","3, 9","1.6813, 1.2492","1.6433, 1.2404","1.6813, 1.2492","1.22, 1.88","1.41, 1.72",3,2,27,9,3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250101,TmAl3,Tm,37,15,1.536,1.4849,1.536,1.25,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250668,La3Co,"La, Co","13, 58","3, 9","1.8186, 1.2492","1.8146, 1.0204","1.8186, 1.2492","1.1, 1.88","1.35, 1.72",1,2,4,12,1,2,4,12,2,1,12,4,2,1,12,4,2,1,12,4,1,2,4,12,1,2,4,12
250648,LuPt3,Lu,41,17,1.7151,1.4248,1.7151,1.27,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250564,MoRh3,Mo,50,6,1.3617,1.3427,1.3617,2.16,1.94,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250022,Nb0.25Re0.75,"Nb, Re","47, 54","5, 21","1.4302, 1.3577","1.2276, 1.2276","1.4302, 1.3577","1.6, 1.9","2.03, 2.06",4,4,58,58,4,4,58,58,4,4,58,58,4,4,58,58,4,4,58,58,4,4,58,58,4,4,58,58
250379,TbIn3,Tb,29,11,1.6609,1.6227,1.6609,1.2,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250399,V3Ga,Ga,74,13,1.2796,1.4884,1.2796,1.81,1.7,1,1,2,6,1,1,2,6,1,1,6,2,1,1,2,6,1,1,6,2,1,1,2,6,1,1,6,2
250628,Nb0.75Co2.25,"Nb, Co","47, 58","5, 9","1.4302, 1.2492","1.5941, 1.1683","1.4302, 1.2492","1.6, 1.88","2.03, 1.72",5,2,24,8,5,2,24,8,2,5,8,24,2,5,8,24,2,5,8,24,5,2,24,8,2,5,8,24
250477,YbPb3,Yb,39,16,1.8969,1.719,1.8969,1.1,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250503,GdAl3,Gd,27,10,1.7454,1.4663,1.7454,1.2,1.1,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250733,Ta0.25Ni0.75,"Ta, Ni","48, 61","19, 10","1.4132, 1.2515","1.2925, 1.2925","1.4132, 1.2515","1.5, 1.91","1.94, 1.76",1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2
250693,CePd3,Ce,15,4,1.7238,1.4538,1.7238,1.12,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250186,Mo0.25Pt0.75,"Mo, Pt","50, 63","6, 24","1.3617, 1.3843","1.376, 1.376","1.3617, 1.3843","2.16, 2.28","1.94, 1.91",1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2
250236,Nb3Sn,Sn,80,14,1.4899,1.6347,1.4899,1.96,1.88,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2
250740,VIr3,V,46,5,1.3117,1.3479,1.3117,1.63,2.22,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,3,1,1,3,1,1,1,3,1,1,1,1,3
250366,NdSn3,Nd,19,6,1.6571,1.6638,1.6571,1.14,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250374,CeIn3,Ce,15,4,1.7238,1.6579,1.7238,1.12,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250383,TmIn3,Tm,37,15,1.536,1.6116,1.536,1.25,1.2,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1,1,1,3,1
250335,TbPd3,Tb,29,11,1.6609,1.4415,1.6609,1.2,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250647,YbPt3,Yb,39,16,1.8969,1.4255,1.8969,1.1,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250225,MoNi3,"Mo, Ni","50, 61","6, 10","1.3617, 1.2515","1.261, 1.261","1.3617, 1.2515","2.16, 1.91","1.94, 1.76",2,1,6,2,2,1,6,2,1,2,2,6,2,2,6,6,1,2,2,6,1,2,2,6,1,2,2,6
250331,NdPd3,Nd,19,6,1.6571,1.4589,1.6571,1.14,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250382,ErIn3,Er,35,14,1.6438,1.6138,1.6438,1.24,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250506,CeAl3,Ce,15,4,1.7238,1.49,1.7238,1.12,1.1,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250650,CePd3,Ce,15,4,1.7238,1.4595,1.7238,1.12,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250530,NbNi3,"Nb, Ni","47, 61","5, 10","1.4302, 1.2515","1.2675, 1.2675","1.4302, 1.2515","1.6, 1.91","2.03, 1.76",2,1,6,2,2,1,6,2,1,2,2,6,2,1,6,2,1,2,2,6,2,1,6,2,1,2,2,6
250065,Mo3Os,Os,57,22,1.3106,1.5362,1.3106,2.2,1.85,1,1,2,6,1,1,2,6,1,1,6,2,1,1,2,6,1,1,6,2,1,1,2,6,1,1,6,2
250891,LaPd3,La,13,3,1.8186,1.497,1.8186,1.1,1.35,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250339,YbPd3,Yb,39,16,1.8969,1.4283,1.8969,1.1,1.1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250410,GdAl3,Gd,27,10,1.7454,1.4663,1.7454,1.2,1.1,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250463,YFe3,"Y, Fe","12, 55","3, 8","1.6813, 1.2422","1.6842, 1.2582","1.6813, 1.2422","1.22, 1.83","1.41, 1.67",3,2,27,9,3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250394,YCo3,"Y, Co","12, 58","3, 9","1.6813, 1.2492","1.6455, 1.242","1.6813, 1.2492","1.22, 1.88","1.41, 1.72",3,2,27,9,3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250385,LuIn3,Lu,41,17,1.7151,1.6096,1.7151,1.27,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250328,LaPd3,La,13,3,1.8186,1.4974,1.8186,1.1,1.35,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250653,YbPd3,Yb,39,16,1.8969,1.4259,1.8969,1.1,1.1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250810,TbPt3,Tb,29,11,1.6609,1.4433,1.6609,1.2,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250527,LaPb3,La,13,3,1.8186,1.7469,1.8186,1.1,1.35,1,1,3,1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250554,Y0.25Ce0.75,"Y, Ce","12, 15","3, 4","1.6813, 1.7238","1.8176, 1.8176","1.6813, 1.7238","1.22, 1.12","1.41, 1.1",2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4
250460,GdFe3,"Gd, Fe","27, 55","10, 8","1.7454, 1.2422","1.6962, 1.2659","1.7454, 1.2422","1.2, 1.83","1.1, 1.67",3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250561,WIr3,W,51,20,1.3701,1.3542,1.3701,2.36,1.79,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2
250907,Ce0.25Tb0.75,"Ce, Tb","15, 29","4, 11","1.7238, 1.6609","1.7802, 1.7802","1.7238, 1.6609","1.12, 1.2","1.1, 1.2",1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2
250894,YPd3,Y,12,3,1.6813,1.439,1.6813,1.22,1.41,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250718,GdAl3,Gd,27,10,1.7454,1.4689,1.7454,1.2,1.1,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250962,Pt3Sn,Sn,80,14,1.4899,1.4144,1.4899,1.96,1.88,1,1,1,3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,3,1
250332,SmPd3,Sm,23,8,1.7165,1.4514,1.7165,1.17,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250649,ScPt3,Sc,11,3,1.6329,1.398,1.6329,1.36,1.5,1,1,3,1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250563,MoIr3,Mo,50,6,1.3617,1.3524,1.3617,2.16,1.94,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,2,6
250375,PrIn3,Pr,17,5,1.6334,1.6517,1.6334,1.13,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250754,Au3Er,"Er, Au","35, 66","14, 25","1.6438, 1.4425","1.4487, 1.4487","1.6438, 1.4425","1.24, 2.54","1.2, 1.19",2,1,6,2,2,1,6,2,1,2,2,6,1,2,2,6,1,2,2,6,2,1,6,2,1,2,2,6
250340,LuPd3,Lu,41,17,1.7151,1.4269,1.7151,1.27,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250892,CePd3,Ce,15,4,1.7238,1.4594,1.7238,1.12,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250806,Nd0.75Pt2.25,"Nd, Pt","19, 63","6, 24","1.6571, 1.3843","1.8123, 1.3472","1.6571, 1.3843","1.14, 2.28","1.2, 1.91",2,1,24,8,2,1,24,8,1,2,8,24,1,2,8,24,1,2,8,24,2,1,24,8,2,1,24,8
250404,NdAl3,Nd,19,6,1.6571,1.4828,1.6571,1.14,1.2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250934,Pd3Sn,Sn,80,14,1.4899,1.4064,1.4899,1.96,1.88,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250652,Pd3Sn,Sn,80,14,1.4899,1.4054,1.4899,1.96,1.88,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250376,NdIn3,Nd,19,6,1.6571,1.6459,1.6571,1.14,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250651,GdPd3,Gd,27,10,1.7454,1.4471,1.7454,1.2,1.1,1,1,3,1,1,1,3,3,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
