CIF_id,Compound,A,B,A_shortest_dist_count,B_shortest_dist_count,A_avg_shortest_dist_count,B_avg_shortest_dist_count,A_shortest_tol_dist_count,B_shortest_tol_dist_count,A_avg_shortest_dist_within_tol_count,B_avg_shortest_dist_within_tol_count,A_second_by_first_shortest_dist,B_second_by_first_shortest_dist,A_avg_second_by_first_shortest_dist,B_avg_second_by_first_shortest_dist,A_second_shortest_dist_count,B_second_shortest_dist_count,A_avg_second_shortest_dist_count,B_avg_second_shortest_dist_count,A_homoatomic_dist_by_shortest_dist,B_homoatomic_dist_by_shortest_dist,A_avg_homoatomic_dist_by_shortest_dist,B_avg_homoatomic_dist_by_shortest_dist,A_count_at_A_shortest_dist,A_count_at_B_shortest_dist,A_avg_count_at_A_shortest_dist,A_avg_count_at_B_shortest_dist,B_count_at_A_shortest_dist,B_count_at_B_shortest_dist,B_avg_count_at_A_shortest_dist,B_avg_count_at_B_shortest_dist
250469,YbIn3,Yb,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4172,1.4172,1.4172,1.4172,6,6,6.0,6.0,1.4156,1.001,1.4156,1.001,0,4,0.0,4.0,12,8,12.0,8.0
250329,CePd3,Ce,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4144,1.4144,1.4144,1.4144,6,6,6.0,6.0,1.4136,0.9996,1.4136,0.9996,0,4,0.0,4.0,12,8,12.0,8.0
250893,PrPd3,Pr,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.413,1.413,1.413,1.413,6,6,6.0,6.0,1.4134,0.9994,1.4134,0.9994,0,4,0.0,4.0,12,8,12.0,8.0
250330,PrPd3,Pr,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.413,1.413,1.413,1.413,6,6,6.0,6.0,1.4124,0.9987,1.4124,0.9987,0,4,0.0,4.0,12,8,12.0,8.0
250679,EuPb3,Eu,Pb,12,12,12.0,12.0,12,12,12.0,12.0,1.4138,1.4138,1.4138,1.4138,6,6,6.0,6.0,1.4124,0.9987,1.4124,0.9987,0,4,0.0,4.0,12,8,12.0,8.0
250753,Au3Ho,Ho,Au,4,4,4.0,4.0,8,8,8.0,8.0,1.0206,1.0206,1.0206,1.0206,2,2,2.0,2.0,1.4568,0.9991,1.4568,0.9991,0,2,0.0,1.0,4,6,4.0,3.0
250755,Au3Yb,Yb,Au,4,4,4.0,4.0,8,8,8.0,8.0,1.0278,1.0278,1.0278,1.0278,2,2,2.0,2.0,1.4614,1.0003,1.4614,1.0003,0,2,0.0,1.0,4,6,4.0,3.0
250805,Pr0.75Pt2.25,Pr,Pt,12,6,12.0,9.0,20,6,20.0,13.0,1.0442,1.1741,1.0442,1.1091,8,12,8.0,10.0,1.0442,1.001,1.0442,1.0003,0,0,0.0,0.0,12,18,12.0,9.0
250378,GdIn3,Gd,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4141,1.4141,1.4141,1.4141,6,6,6.0,6.0,1.4131,0.9992,1.4131,0.9992,0,4,0.0,4.0,12,8,12.0,8.0
250223,Nb0.25Ru0.75,Nb,Ru,12,12,12.0,12.0,24,24,24.0,24.0,1.011,1.011,1.011,1.011,12,12,12.0,12.0,1.0001,1.0001,1.0001,1.0001,6,6,6.0,6.0,6,6,6.0,6.0
250373,LaIn3,La,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4119,1.4119,1.4119,1.4119,6,6,6.0,6.0,1.4133,0.9993,1.4133,0.9993,0,4,0.0,4.0,12,8,12.0,8.0
250525,TiNi3,Ti,Ni,18,16,18.0,16.0,18,32,18.0,16.0,1.4157,1.4157,1.4157,1.4157,6,12,6.0,9.0,1.4142,0.9982,1.4142,0.9982,0,8,0.0,4.0,18,24,18.0,12.0
250763,Sm3Co,Sm,Co,1,1,1.0,1.0,2,6,2.0,6.0,1.0072,1.0072,1.0107,1.0072,1,1,1.0,1.0,1.3142,1.5599,1.2731,1.5599,0,1,0.0,1.0,1,0,1.0,0.0
250811,Ce0.75Pt2.25,Ce,Pt,12,6,12.0,9.0,20,6,20.0,13.0,1.044,1.1734,1.044,1.1087,8,12,8.0,10.0,1.0437,1.0,1.0437,0.9996,0,0,0.0,0.0,12,18,12.0,9.0
250380,DyIn3,Dy,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4136,1.4136,1.4136,1.4136,6,6,6.0,6.0,1.4133,0.9994,1.4133,0.9994,0,4,0.0,4.0,12,8,12.0,8.0
250464,YCo3,Y,Co,6,6,6.0,3.3333,12,19,9.0,6.3333,1.0278,1.184,1.071,1.064,3,6,7.5,3.3333,1.0922,1.0014,1.1423,1.0008,0,0,0.0,0.0,6,10,6.0,3.3333
250101,TmAl3,Tm,Al,12,12,12.0,12.0,12,12,12.0,12.0,1.4141,1.4141,1.4141,1.4141,6,6,6.0,6.0,1.4141,1.0,1.4141,1.0,0,4,0.0,4.0,12,8,12.0,8.0
250668,La3Co,La,Co,1,1,1.0,1.0,2,6,2.0,6.0,1.0141,1.0141,1.0122,1.0141,1,1,1.0,1.0,1.3256,1.561,1.2821,1.561,0,1,0.0,1.0,1,0,1.0,0.0
250648,LuPt3,Lu,Pt,12,12,12.0,12.0,12,12,12.0,12.0,1.414,1.414,1.414,1.414,6,6,6.0,6.0,1.414,0.9999,1.414,0.9999,0,4,0.0,4.0,12,8,12.0,8.0
250564,MoRh3,Mo,Rh,12,10,12.0,10.0,24,20,24.0,20.0,1.0149,1.0149,1.0149,1.0149,12,10,12.0,10.0,1.423,0.9983,1.423,0.9983,0,2,0.0,2.0,12,8,12.0,8.0
250022,Nb0.25Re0.75,Nb,Re,2,24,8.5,8.5,4,44,11.0,11.0,1.0366,1.02,1.0453,1.0453,2,8,6.5,6.5,0.998,0.9984,0.9993,0.9993,1,17,4.25,4.25,1,17,4.25,4.25
250379,TbIn3,Tb,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4123,1.4123,1.4123,1.4123,6,6,6.0,6.0,1.4122,0.9986,1.4122,0.9986,0,4,0.0,4.0,12,8,12.0,8.0
250399,V3Ga,V,Ga,2,12,2.0,12.0,2,12,2.0,12.0,1.1162,1.5502,1.1162,1.5502,4,8,4.0,8.0,0.9993,1.5506,0.9993,1.5506,2,12,2.0,12.0,0,0,0.0,0.0
250628,Nb0.75Co2.25,Nb,Co,3,3,3.0,3.4,18,54,18.0,10.8,1.0072,1.0072,1.0054,1.0402,9,9,9.0,5.4,1.0504,1.0009,1.0485,0.9997,0,0,0.0,0.0,3,17,3.0,3.4
250477,YbPb3,Yb,Pb,12,12,12.0,12.0,12,12,12.0,12.0,1.4128,1.4128,1.4128,1.4128,6,6,6.0,6.0,1.4134,0.9994,1.4134,0.9994,0,4,0.0,4.0,12,8,12.0,8.0
250503,GdAl3,Gd,Al,12,10,12.0,10.0,12,10,12.0,10.0,1.0785,1.0785,1.0785,1.0785,12,10,12.0,10.0,1.4714,1.0009,1.4714,1.0009,0,2,0.0,2.0,12,8,12.0,8.0
250733,Ta0.25Ni0.75,Ta,Ni,12,12,12.0,12.0,24,24,24.0,24.0,1.0039,1.0039,1.0039,1.0039,12,12,12.0,12.0,1.0019,1.0019,1.0019,1.0019,6,6,6.0,6.0,6,6,6.0,6.0
250693,CePd3,Ce,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4124,1.4124,1.4124,1.4124,6,6,6.0,6.0,1.4131,0.9992,1.4131,0.9992,0,4,0.0,4.0,12,8,12.0,8.0
250186,Mo0.25Pt0.75,Mo,Pt,8,8,8.0,8.0,24,24,24.0,24.0,1.0073,1.0073,1.0073,1.0073,16,16,16.0,16.0,1.0008,1.0008,1.0008,1.0008,4,4,4.0,4.0,4,4,4.0,4.0
250236,Nb3Sn,Nb,Sn,2,12,2.0,12.0,2,12,2.0,12.0,1.1212,1.5473,1.1212,1.5473,4,8,4.0,8.0,1.0019,1.5477,1.0019,1.5477,2,12,2.0,12.0,0,0,0.0,0.0
250740,VIr3,V,Ir,12,12,12.0,12.0,12,12,12.0,12.0,1.4111,1.4111,1.4111,1.4111,6,6,6.0,6.0,1.412,0.9984,1.412,0.9984,0,4,0.0,4.0,12,8,12.0,8.0
250366,NdSn3,Nd,Sn,12,12,12.0,12.0,12,12,12.0,12.0,1.4144,1.4144,1.4144,1.4144,6,6,6.0,6.0,1.4132,0.9993,1.4132,0.9993,0,4,0.0,4.0,12,8,12.0,8.0
250374,CeIn3,Ce,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4126,1.4126,1.4126,1.4126,6,6,6.0,6.0,1.4124,0.9987,1.4124,0.9987,0,4,0.0,4.0,12,8,12.0,8.0
250383,TmIn3,Tm,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4162,1.4162,1.4162,1.4162,6,6,6.0,6.0,1.4156,1.001,1.4156,1.001,0,4,0.0,4.0,12,8,12.0,8.0
250335,TbPd3,Tb,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4167,1.4167,1.4167,1.4167,6,6,6.0,6.0,1.4157,1.0011,1.4157,1.0011,0,4,0.0,4.0,12,8,12.0,8.0
250647,YbPt3,Yb,Pt,12,12,12.0,12.0,12,12,12.0,12.0,1.414,1.414,1.414,1.414,6,6,6.0,6.0,1.4147,1.0004,1.4147,1.0004,0,4,0.0,4.0,12,8,12.0,8.0
250225,MoNi3,Mo,Ni,2,2,2.0,2.0,12,12,12.0,12.0,1.004,1.004,1.004,1.004,2,2,2.0,2.0,1.4182,1.0008,1.4182,1.0082,0,0,0.0,1.0,2,2,2.0,1.0
250331,NdPd3,Nd,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4144,1.4144,1.4144,1.4144,6,6,6.0,6.0,1.4131,0.9992,1.4131,0.9992,0,4,0.0,4.0,12,8,12.0,8.0
250382,ErIn3,Er,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4118,1.4118,1.4118,1.4118,6,6,6.0,6.0,1.4131,0.9992,1.4131,0.9992,0,4,0.0,4.0,12,8,12.0,8.0
250506,CeAl3,Ce,Al,12,10,12.0,10.0,12,10,12.0,10.0,1.0973,1.0973,1.0973,1.0973,12,10,12.0,10.0,1.4852,1.0,1.4852,1.0,0,2,0.0,2.0,12,8,12.0,8.0
250650,CePd3,Ce,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4144,1.4144,1.4144,1.4144,6,6,6.0,6.0,1.4137,0.9996,1.4137,0.9996,0,4,0.0,4.0,12,8,12.0,8.0
250530,NbNi3,Nb,Ni,2,2,2.0,2.0,12,12,12.0,12.0,1.0039,1.0039,1.0039,1.0039,2,2,2.0,2.0,1.4144,0.998,1.4144,1.0134,0,0,0.0,1.0,2,2,2.0,1.0
250065,Mo3Os,Mo,Os,2,12,2.0,12.0,2,12,2.0,12.0,1.1165,1.5504,1.1165,1.5504,4,8,4.0,8.0,0.9982,1.5486,0.9982,1.5486,2,12,2.0,12.0,0,0,0.0,0.0
250891,LaPd3,La,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4147,1.4147,1.4147,1.4147,6,6,6.0,6.0,1.4161,1.0013,1.4161,1.0013,0,4,0.0,4.0,12,8,12.0,8.0
250339,YbPd3,Yb,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4126,1.4126,1.4126,1.4126,6,6,6.0,6.0,1.4125,0.9988,1.4125,0.9988,0,4,0.0,4.0,12,8,12.0,8.0
250410,GdAl3,Gd,Al,12,10,12.0,10.0,12,10,12.0,10.0,1.0785,1.0785,1.0785,1.0785,12,10,12.0,10.0,1.4714,1.0009,1.4714,1.0009,0,2,0.0,2.0,12,8,12.0,8.0
250463,YFe3,Y,Fe,6,6,6.0,4.6667,12,18,9.0,6.0,1.0306,1.1929,1.0694,1.067,3,6,7.5,3.3333,1.0931,0.9996,1.1341,0.999,0,0,0.0,0.0,6,14,6.0,4.6667
250394,YCo3,Y,Co,6,6,6.0,3.3333,12,19,9.0,6.3333,1.0242,1.1793,1.0673,1.0624,3,6,7.5,3.3333,1.0899,0.9986,1.1398,1.0006,0,0,0.0,0.0,6,10,6.0,3.3333
250385,LuIn3,Lu,In,12,12,12.0,12.0,12,12,12.0,12.0,1.413,1.413,1.413,1.413,6,6,6.0,6.0,1.4138,0.9997,1.4138,0.9997,0,4,0.0,4.0,12,8,12.0,8.0
250328,LaPd3,La,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4181,1.4181,1.4181,1.4181,6,6,6.0,6.0,1.4164,1.0016,1.4164,1.0016,0,4,0.0,4.0,12,8,12.0,8.0
250653,YbPd3,Yb,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.414,1.414,1.414,1.414,6,6,6.0,6.0,1.4151,1.0006,1.4151,1.0006,0,4,0.0,4.0,12,8,12.0,8.0
250810,TbPt3,Tb,Pt,12,12,12.0,12.0,12,12,12.0,12.0,1.4118,1.4118,1.4118,1.4118,6,6,6.0,6.0,1.4126,0.9988,1.4126,0.9988,0,4,0.0,4.0,12,8,12.0,8.0
250527,LaPb3,La,Pb,12,12,12.0,12.0,12,12,12.0,12.0,1.4155,1.4155,1.4155,1.4155,6,6,6.0,6.0,1.4158,1.0011,1.4158,1.0011,0,4,0.0,4.0,12,8,12.0,8.0
250554,Y0.25Ce0.75,Y,Ce,12,12,12.0,12.0,24,48,24.0,24.0,1.0082,1.0082,1.0082,1.0082,12,12,12.0,12.0,0.9987,0.9987,0.9987,0.9987,6,12,6.0,6.0,6,12,6.0,6.0
250460,GdFe3,Gd,Fe,6,6,6.0,3.3333,12,19,9.0,6.3333,1.0304,1.1961,1.0689,1.068,3,6,7.5,3.3333,1.0931,1.0018,1.1334,1.0011,0,0,0.0,0.0,6,10,6.0,3.3333
250561,WIr3,W,Ir,12,10,12.0,10.0,24,20,24.0,20.0,1.0148,1.0148,1.0148,1.0148,12,10,12.0,10.0,1.4237,0.9994,1.4237,0.9994,0,2,0.0,2.0,12,8,12.0,8.0
250907,Ce0.25Tb0.75,Ce,Tb,12,12,12.0,12.0,24,24,24.0,24.0,1.0197,1.0197,1.0197,1.0197,12,12,12.0,12.0,1.0001,1.0001,1.0001,1.0001,6,6,6.0,6.0,6,6,6.0,6.0
250894,YPd3,Y,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4132,1.4132,1.4132,1.4132,6,6,6.0,6.0,1.4133,0.9993,1.4133,0.9993,0,4,0.0,4.0,12,8,12.0,8.0
250718,GdAl3,Gd,Al,12,10,12.0,10.0,12,10,12.0,10.0,1.0782,1.0782,1.0782,1.0782,12,10,12.0,10.0,1.4689,0.9992,1.4689,0.9992,0,2,0.0,2.0,12,8,12.0,8.0
250962,Pt3Sn,Pt,Sn,12,12,12.0,12.0,12,12,12.0,12.0,1.4134,1.4134,1.4134,1.4134,6,6,6.0,6.0,0.9996,1.4136,0.9996,1.4136,8,12,8.0,12.0,4,0,4.0,0.0
250332,SmPd3,Sm,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4172,1.4172,1.4172,1.4172,6,6,6.0,6.0,1.4156,1.001,1.4156,1.001,0,4,0.0,4.0,12,8,12.0,8.0
250649,ScPt3,Sc,Pt,12,12,12.0,12.0,12,12,12.0,12.0,1.4107,1.4107,1.4107,1.4107,6,6,6.0,6.0,1.4121,0.9985,1.4121,0.9985,0,4,0.0,4.0,12,8,12.0,8.0
250563,MoIr3,Mo,Ir,12,10,12.0,10.0,24,20,24.0,20.0,1.0148,1.0148,1.0148,1.0148,12,10,12.0,10.0,1.4269,1.0018,1.4269,1.0018,0,2,0.0,2.0,12,8,12.0,8.0
250375,PrIn3,Pr,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4151,1.4151,1.4151,1.4151,6,6,6.0,6.0,1.4156,1.001,1.4156,1.001,0,4,0.0,4.0,12,8,12.0,8.0
250754,Au3Er,Er,Au,4,4,4.0,4.0,8,8,8.0,8.0,1.0241,1.0241,1.0241,1.0241,2,2,2.0,2.0,1.4585,0.9991,1.4585,0.9991,0,2,0.0,1.0,4,6,4.0,3.0
250340,LuPd3,Lu,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4175,1.4175,1.4175,1.4175,6,6,6.0,6.0,1.4161,1.0013,1.4161,1.0013,0,4,0.0,4.0,12,8,12.0,8.0
250892,CePd3,Ce,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4144,1.4144,1.4144,1.4144,6,6,6.0,6.0,1.4136,0.9996,1.4136,0.9996,0,4,0.0,4.0,12,8,12.0,8.0
250806,Nd0.75Pt2.25,Nd,Pt,12,6,12.0,9.0,20,6,20.0,13.0,1.0443,1.1747,1.0443,1.1095,8,12,8.0,10.0,1.0443,1.0016,1.0443,1.0007,0,0,0.0,0.0,12,18,12.0,9.0
250404,NdAl3,Nd,Al,12,10,12.0,10.0,12,10,12.0,10.0,1.0909,1.0909,1.0909,1.0909,12,10,12.0,10.0,1.4779,0.9985,1.4779,0.9985,0,2,0.0,2.0,12,8,12.0,8.0
250934,Pd3Sn,Pd,Sn,12,12,12.0,12.0,12,12,12.0,12.0,1.4164,1.4164,1.4164,1.4164,6,6,6.0,6.0,1.001,1.4157,1.001,1.4157,8,12,8.0,12.0,4,0,4.0,0.0
250652,Pd3Sn,Pd,Sn,12,12,12.0,12.0,12,12,12.0,12.0,1.4164,1.4164,1.4164,1.4164,6,6,6.0,6.0,1.0003,1.4146,1.0003,1.4146,8,12,8.0,12.0,4,0,4.0,0.0
250376,NdIn3,Nd,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4164,1.4164,1.4164,1.4164,6,6,6.0,6.0,1.415,1.0006,1.415,1.0006,0,4,0.0,4.0,12,8,12.0,8.0
250651,GdPd3,Gd,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4152,1.4152,1.4152,1.4152,6,6,6.0,6.0,1.4163,1.0014,1.4163,1.0014,0,4,0.0,4.0,12,8,12.0,8.0
250468,SmIn3,Sm,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4159,1.4159,1.4159,1.4159,6,6,6.0,6.0,1.4147,1.0003,1.4147,1.0003,0,4,0.0,4.0,12,8,12.0,8.0
